"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"L9","0603","-77.6651mm","11.6091mm","-77.6651mm","11.6091mm","-77.6651mm","12.4241mm","T","270.00","BLM18SG121TN1D"
"IC15","SC70-5","-25.1507mm","15.6947mm","-24.5008mm","16.7947mm","-24.5008mm","16.7947mm","T","270.00","TLV70018DCKT"
"IC14","R-PDSO-G5","-39.5756mm","37.7634mm","-39.5756mm","37.7634mm","-38.9256mm","38.7134mm","T","270.00","SN74LVC1G07DCKR"
"IC13","R-PDSO-G5","-36.1968mm","37.7341mm","-36.1968mm","37.7341mm","-36.8468mm","36.7841mm","T","90.00","SN74LVC1G126DCKR"
"IC12","DHVQFN14","-44.6405mm","34.6831mm","-44.6405mm","34.6831mm","-44.3905mm","33.1831mm","T","180.00","74HC00BQ"
"IC11","SC70-5","-45.5703mm","12.2627mm","-46.2203mm","11.1627mm","-46.2203mm","11.1627mm","T","90.00","SN74LV1T125DCKR"
"D13","SOD-323","-40.1887mm","32.8305mm","-40.1887mm","32.8305mm","-39.1337mm","32.8305mm","T","90.00","1N4148WS"
"D12","SOT-3","-46.3218mm","9.5095mm","-46.3218mm","9.5095mm","-45.8968mm","9.1595mm","T","90.00","TPD2E009DRTR"
"D11","SOT-3","-71.4383mm","9.8878mm","-71.4383mm","9.8878mm","-71.0883mm","10.3128mm","T","180.00","TPD2E009DRTR"
"D10","SOT-3","-70.0839mm","5.4262mm","-70.0839mm","5.4262mm","-70.4339mm","5.8512mm","B","360.00","TPD2E009DRTR"
"C67","0402","-26.63mm","16.3689mm","-26.63mm","16.3689mm","-26.63mm","15.9439mm","T","90.00","2u2"
"C63","0402","-37.3392mm","32.8316mm","-37.3392mm","32.8316mm","-36.9142mm","32.8316mm","T","180.00","1u"
"M2","jetson-nano-module","-156.924mm","-40.024mm","-14.7828mm","6.604mm","-156.924mm","-40.024mm","T","180.00",""
"R67","0402","-46.5848mm","19.1092mm","-46.5848mm","19.1092mm","-47.0648mm","19.1092mm","T","360.00","200k"
"R65","0402","-47.732mm","26mm","-47.732mm","26mm","-47.732mm","26.48mm","T","270.00","0R"
"R63","0402","-50.432mm","26mm","-50.432mm","26mm","-50.432mm","25.52mm","T","90.00","0R"
"LED1","LED0603","-59.4275mm","0.9118mm","-59.4275mm","0.9118mm","-58.729mm","0.9118mm","T","180.00","KPT-1608SGC"
"L2","0603","-61.975mm","13.7993mm","-61.975mm","13.7993mm","-61.16mm","13.7993mm","T","180.00","BLM18EG221SN1D"
"IC7","RNH0030A","-51.932mm","21.8025mm","-51.932mm","21.8mm","-50.132mm","23.03mm","T","270.00","HD3SS3220"
"D7","TPD4E05U06_PASS","-49.932mm","14mm","-49.932mm","14mm","-48.932mm","14.385mm","T","180.00","TPD4E05U06"
"D6","TPD4E05U06_PASS","-55.432mm","14mm","-55.432mm","14mm","-56.432mm","14.385mm","T","0.00","TPD4E05U06"
"D5","SOT-3","-50.0856mm","16.657mm","-50.0856mm","16.657mm","-50.4356mm","17.082mm","B","360.00","TPD2E009DRTR"
"C34","0805","-44.8439mm","25.3376mm","-44.8438mm","25.3376mm","-45.7189mm","25.3376mm","T","360.00","47u"
"C33","0603","-57.6154mm","24.209mm","-57.6154mm","24.209mm","-57.6154mm","23.484mm","T","90.00","100n"
"J2","2129320-3","-38.524mm","7.776mm","-38.524mm","7.776mm","-41.224mm","7.951mm","T","0.00","2129320-3"
"R70","0402","-47.1466mm","21.1321mm","-47.1466mm","21.1321mm","-47.6266mm","21.1321mm","T","360.00","2k2"
"R69","0402","-45.1033mm","20.6368mm","-45.1033mm","20.6368mm","-45.1033mm","20.1568mm","T","90.00","2k2"
"R62","0402","-47.132mm","22.8mm","-47.132mm","22.8mm","-46.652mm","22.8mm","T","180.00","0R"
"R56","0402","-56.232mm","22mm","-56.232mm","22mm","-56.712mm","22mm","T","360.00","0R"
"R55","0402","-47.1188mm","23.8103mm","-47.1188mm","23.8103mm","-46.6388mm","23.8103mm","T","180.00","4k7"
"R53","0402","-56.232mm","22.9mm","-56.232mm","22.9mm","-55.752mm","22.9mm","T","180.00","200k"
"IC6","PCA9517ATP","-59.6831mm","10.3933mm","-59.6831mm","10.3933mm","-58.2331mm","9.6433mm","T","90.00","PCA9517ATP"
"IC5","QFN-32","-20.5611mm","11.8964mm","-20.5611mm","11.8964mm","-22.3111mm","9.4214mm","T","90.00","FT232RQ"
"C54","0402","-48.232mm","17.6mm","-48.232mm","17.6mm","-48.232mm","17.175mm","T","90.00","100n"
"C53","0402","-49.4606mm","17.6mm","-49.4606mm","17.6mm","-49.4606mm","17.175mm","T","90.00","100n"
"C50","0402","-53.4787mm","17.6211mm","-53.4787mm","17.6211mm","-53.4787mm","17.1961mm","T","90.00","100n"
"C48","0402","-54.434mm","17.6049mm","-54.434mm","17.6049mm","-54.434mm","17.1799mm","T","90.00","100n"
"C35","0603","-50.632mm","28mm","-50.632mm","28mm","-49.907mm","28mm","T","180.00","10u"
"C32","0603","-58.9733mm","4.2618mm","-58.9733mm","4.2618mm","-58.9733mm","3.5368mm","T","90.00","1u"
"C31","1210","-61.132mm","17.3mm","-61.132mm","15.7mm","-61.132mm","15.95mm","T","90.00","100u"
