"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R98","0402","1272.329mil","-642.998mil","1272.329mil","-642.998mil","1272.329mil","-661.896mil","T","90.00","0R"
"R99","0402","1312.579mil","-642.998mil","1312.579mil","-642.998mil","1312.579mil","-661.896mil","T","90.00","0R"
"C65","0402","1151.329mil","100.002mil","1151.329mil","100.002mil","1132.431mil","100.002mil","T","360.00","2u2"
"IC16","TSOP-6","1329.638mil","-276.412mil","1329.638mil","-276.412mil","1372.945mil","-313.814mil","T","180.00","NCP380HSNAJAAT1G"
"T4","SC70-3","2972.329mil","-868.999mil","2972.329mil","-868.998mil","3009.73mil","-894.589mil","T","180.00","BSS138PW,115"
"T2","SC70-3","2972.329mil","-770.999mil","2972.329mil","-770.998mil","3009.73mil","-796.589mil","T","180.00","BSS138PW,115"
"L4","LQH32PN2R2NN0L","3628.329mil","577.002mil","3628.329mil","577.002mil","3628.329mil","626.214mil","T","270.00","LQH32PN2R2NN0L"
"C1","0402","701.329mil","-823.998mil","701.329mil","-823.998mil","682.431mil","-823.998mil","T","360.00","4u7"
"C2","0402","701.329mil","-783.998mil","701.329mil","-783.998mil","682.431mil","-783.998mil","T","360.00","4u7"
"C9","0402","1256.329mil","-7.998mil","1256.329mil","-7.998mil","1256.329mil","-26.896mil","T","90.00","100n"
"C14","0805","595.329mil","-778.998mil","595.329mil","-778.998mil","595.329mil","-744.549mil","T","270.00","100p"
"C15","0402","2884.329mil","-873.998mil","2884.329mil","-873.998mil","2884.329mil","-855.101mil","T","270.00","47p"
"C16","0805","402.959mil","191.544mil","402.959mil","191.544mil","402.959mil","225.993mil","T","270.00","47u"
"C29","0402","2714.329mil","-873.998mil","2714.329mil","-873.998mil","2714.329mil","-855.101mil","T","270.00","47p"
"C30","0402","2884.329mil","-761.998mil","2884.329mil","-761.998mil","2884.329mil","-780.896mil","T","90.00","100n"
"C44","0402","2090.841mil","-390.422mil","2090.841mil","-390.422mil","2090.841mil","-371.525mil","T","270.00","100n"
"C48","0402","1586.375mil","-529.998mil","1586.375mil","-529.998mil","1586.375mil","-548.896mil","T","90.00","100n"
"C58","0603","1946.329mil","185.002mil","1946.329mil","185.002mil","1978.415mil","185.002mil","T","180.00","10u"
"C61","0402","3093.329mil","-497.998mil","3093.329mil","-497.998mil","3112.226mil","-497.998mil","T","180.00","100p"
"C66","0402","2581.329mil","-813.998mil","2581.329mil","-813.998mil","2581.329mil","-832.896mil","T","90.00","1u"
"C67","0402","2581.329mil","-885.998mil","2581.329mil","-885.998mil","2581.329mil","-867.101mil","T","270.00","2u2"
"C80","0402","957.64mil","-500.154mil","957.64mil","-500.154mil","957.64mil","-481.256mil","T","270.00","100n"
"C50","0402","1626.236mil","-529.998mil","1626.236mil","-529.998mil","1626.236mil","-548.896mil","T","90.00","100n"
"C53","0402","1785.682mil","-529.998mil","1785.682mil","-529.998mil","1785.682mil","-548.896mil","T","90.00","100n"
"C54","0402","1830.221mil","-529.998mil","1830.221mil","-529.998mil","1830.221mil","-548.896mil","T","90.00","100n"
"C6","0402","2341.334mil","-335.74mil","2341.334mil","-335.74mil","2341.334mil","-316.843mil","T","270.00","100n"
"C7","0402","2375.39mil","-335.74mil","2375.39mil","-335.74mil","2375.39mil","-316.843mil","T","270.00","100n"
"C8","0402","2410.613mil","-335.74mil","2410.613mil","-335.74mil","2410.613mil","-316.843mil","T","270.00","100n"
"C12","0402","2444.426mil","-335.74mil","2444.426mil","-335.74mil","2444.426mil","-316.843mil","T","270.00","100n"
"C39","0402","2204.114mil","-335.74mil","2204.114mil","-335.74mil","2204.114mil","-316.843mil","T","270.00","100n"
"C40","0402","2236.517mil","-335.74mil","2236.517mil","-335.74mil","2236.517mil","-316.843mil","T","270.00","100n"
"C42","0402","2272.76mil","-335.74mil","2272.76mil","-335.74mil","2272.76mil","-316.843mil","T","270.00","100n"
"C43","0402","2306.327mil","-335.74mil","2306.327mil","-335.74mil","2306.327mil","-316.843mil","T","270.00","100n"
"C45","0402","2124.467mil","-390.605mil","2124.467mil","-390.605mil","2124.467mil","-371.707mil","T","270.00","100n"
"C73","0402","1221.485mil","-500.154mil","1221.485mil","-500.154mil","1221.485mil","-481.256mil","T","270.00","100n"
"C74","0402","1185.507mil","-500.154mil","1185.507mil","-500.154mil","1185.507mil","-481.256mil","T","270.00","100n"
"C75","0402","1145.529mil","-500.154mil","1145.529mil","-500.154mil","1145.529mil","-481.256mil","T","270.00","100n"
"C76","0402","1069.573mil","-500.154mil","1069.573mil","-500.154mil","1069.573mil","-481.256mil","T","270.00","100n"
