Designator,Manufacturer,PartNumber,PartSymbol,Value,Description,Quantity
"J10","Adam Tech","PCA-6K-10-HU-3","PCA-6L-10-HU-3-T/R","PCA-6L-10-HU-3-T/R","RECEPTACLE, FPC, ZIF, SMT, 0.5MM, 10WAY, UP","1"
"J11","WURTH ELEKTRONIK","WE_632723300011","632723300011","632723300011","USB 3.1 Type C Receptacle Horizontal THR WR-COM","1"
"L1","WURTH ELEKTRONIK","WE_7447798720","7447798720","WE_7447798720","Fixed Inductors WE-PDF 1064 7.2uH 7.9A 12.8mOhm","1"
"L2, L3","MURATA","BLM18EG221SN1D","BLM18EG221SN1D","BLM18EG221SN1D","MURATA  BLM18EG221SN1D  FERRITE BEAD, 0.05OHM, 2A, 0603","2"
"L4, L6","MURATA","LQH32PN2R2NN0L","LQH32PN2R2NN0L","LQH32PN2R2NN0L","INDUCTOR, 2.2 ?H, ? 30%, 1212, 90 MHz, 0.073 ohm","2"
"L5","VISHAY","IHLP1212AEERR47M11","IHLP1212AEERR47M11","IHLP1212AEERR47M11","FIXED IND 470NH 6.7A 15 MOHM SMD","1"
"L7, L8, L9, L10","MURATA","BLM18SG121TN1D","BLM18SG121TN1D","BLM18SG121TN1D","FERRITE BEAD, 0.025OHM, 3A, 0603","4"
"M1","TE Connectivity","2309413-1","2309413-1","2309413-1","","1"
"M2","","jetson-nano-module","","","","1"
"Q1","NXP","PMV32UP","PMV32UP","PMV32UP","P CH, 20V, 4A","1"
"Q2","NXP","PMV16XN","PMV16XN","PMV16XN","MOSFET, N CH","1"
"R1, R2, R3, R4, R7, R8, R9, R10","Panasonic","R_5R6_0402","ERJ2GEJ5R6X","5R6","RES, 5R6, 0402","8"
"R5, R6, R11, R18, R22, R24, R25, R27, R28, R29, R33, R34, R35, R55, R69, R70, R73, R81, R83, R88, R117, R118","VISHAY","R_2k_0402","CRCW04022K00FKED","2k","RES, 2k, 0402","22"
"R13, R15, R17, R19, R21, R39, R49, R56, R57, R58, R59, R60, R61, R62, R63, R65, R78, R80, R82, R98, R99, R103, R104, R105, R106, R107, R108, R109, R110, R132","Panasonic","R_0R_0402","ERJ2GE0R00X","0R","RES, 0R, 0402","30"
"R14, R43, R97, R111","VISHAY","R_470R_0402","CRCW0402470RFKED.","470R","RES, 470R, 0402","4"
"R16, R36","BOURNS","R_1k_0402","CR0402-FX-1001GLF","1k","RES, 1k, 0402","2"
"R20, R41","VISHAY","R_22R_0402","CRCW040222R0FKED","22R","RES, 22R, 0402","2"
"R26, R30, R77, R100, R101, R112, R113, R119","VISHAY","R_100k_0402","CRCW0402100KFKEDHP","100k","SMT Resistor 100k 0402","8"
"R31, R32","VISHAY","R_1M_0402","CRCW04021M00FKED","1M","SMT Resistor 1M 0402","2"
"R38, R40, R128","TE CONECTIVITY","R_220R_0402","CRG0402J220R","220R","RES, 220R, 0402","3"
"R44, R134","MULTICOMP","R_243k_0402","MCMR04X2433FTL","243k","RES, 243k, 0402","2"
"R45","VISHAY","R_49R9_0402","CRCW040249R9FKED","49R9","RES, 49R9, 0402","1"
"R46, R135","TE CONECTIVITY","R_53k6_0402","CPF0402B53K6E1","53k6","RES, 53k6, 0402","2"
"R48","Panasonic","R_16k9_0402","ERA2AEB1692X","16k9","RES, 16k9, 0402","1"
"R50, R52","TE CONECTIVITY","R_10k2_0402_0.1%","CPF0402B10K2E1","10k2","RES, 10k2, 0402, 0.1%","2"
"R51","Panasonic","R_909k_0402","ERJ2RKF9093X","909k","RES, 909k, 0402","1"
"R53, R67, R84, R86","YAGEO","R_200k_0402","RC0402FR-07200KL","200k","RES, 200k, 0402","4"
"R72, R76, R90, R93, R94, R95, R102, R114, R115, R116, R131","MULTICOMP","R_10k_0402","MCMR04X1002FTL","10k","RES, 10k, 0402","11"
"R74","BOURNS","R_0R_0805","CR0805-J/-000ELF","0R","RES, 0R, 0805","1"
"R85","VISHAY","R_470k_0402","CRCW0402470KFKED","470k","SMT Resistor 470k 0402","1"
"REC, RST, USR","E-SWITCH","TL3340AF160QG","TL3340AF160QG","TL3340AF160QG","E-SWITCH  TL3340AF160QG  SWITCH, TACTILE SPST 50mA, SMD GULL WING","3"
"SP1, SP2, SP3, SP4, SP5, SP6","WURTH ELEKTRONIK","M2.5x6","9774060151","9774060151","M2.5-6mm","6"
"SP7","WURTH ELEKTRONIK","9774040151","9774040151","9774040151","RND STANDOFF M2.5X0.45 STEEL 4MM","1"
"T1, T2, T3, T4, T5","NXP","BSS138PW","BSS138PW","BSS138PW","MOSFET, N CH, 60V, 0.2A","5"
