"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C62","0603","-3070.877mil","834.402mil","-3070.877mil","834.402mil","-3042.334mil","834.402mil","T","180.00","4u7"
"D8","SOT-3","-3402.583mil","271.654mil","-3402.583mil","271.654mil","-3388.803mil","254.921mil","B","180.00","TPD2E009DRTR"
"D9","SOT-3","-3319.905mil","271.654mil","-3319.905mil","271.654mil","-3306.126mil","254.921mil","B","180.00","TPD2E009DRTR"
"R72","0402","-3157.306mil","923.079mil","-3157.306mil","923.079mil","-3157.306mil","904.181mil","T","90.00","10k"
"R73","0402","-3138.876mil","1021.922mil","-3138.876mil","1021.922mil","-3157.774mil","1021.922mil","T","360.00","2k"
"R76","0402","-3005.801mil","1296.089mil","-3005.801mil","1296.089mil","-3024.698mil","1296.089mil","T","360.00","0R"
"D14","SOD-323","-527.559mil","783.465mil","-527.559mil","783.465mil","-527.559mil","825mil","T","360.00","1N4148WS"
"PWR","LED0603","-1225.108mil","319.148mil","-1225.108mil","319.148mil","-1225.108mil","291.648mil","T","90.00","KPT-1608SGC"
"R97","0402","-1103.55mil","324.714mil","-1103.55mil","324.714mil","-1122.447mil","324.714mil","T","360.00","470R"
"R98","0402","-2388.24mil","341.53mil","-2388.24mil","341.53mil","-2407.138mil","341.53mil","T","360.00","0R"
"R99","0402","-2312.325mil","341.53mil","-2312.325mil","341.53mil","-2293.428mil","341.53mil","T","180.00","0R"
"C65","0402","-2998.795mil","1106.375mil","-2998.795mil","1106.375mil","-2982.063mil","1106.375mil","T","180.00","2u2"
"IC16","TSOP-6","-2404.414mil","872.691mil","-2404.414mil","872.691mil","-2441.815mil","829.384mil","T","90.00","NCP380HSNAJAAT1G"
"C28","0402","-2924.049mil","1106.784mil","-2924.049mil","1106.784mil","-2940.781mil","1106.784mil","T","360.00","1u"
"T4","SC70-3","-1229.354mil","82.677mil","-1229.354mil","82.677mil","-1254.945mil","45.276mil","T","90.00","BSS138PW"
"T2","SC70-3","-1067.937mil","803.15mil","-1067.937mil","803.15mil","-1042.346mil","840.551mil","T","270.00","BSS138PW"
"L4","LQH32PN2R2NN0L","-178.173mil","1405.512mil","-178.173mil","1405.512mil","-227.386mil","1405.512mil","T","0.00","LQH32PN2R2NN0L"
"Q2","SOT-23","-3060.211mil","934.936mil","-3060.21mil","934.936mil","-3097.612mil","972.337mil","T","360.00","PMV16XN"
"C1","0402","-2965.634mil","530.503mil","-2965.634mil","530.503mil","-2965.634mil","549.4mil","T","270.00","4u7"
"C2","0402","-2929.656mil","530.503mil","-2929.656mil","530.503mil","-2929.656mil","549.4mil","T","270.00","4u7"
"C9","0402","-2519.07mil","1184.319mil","-2519.07mil","1184.319mil","-2500.173mil","1184.319mil","T","180.00","100n"
"C14","0402","-3165.284mil","450.468mil","-3165.284mil","450.468mil","-3165.284mil","467.2mil","T","270.00","100p"
"C15","0402","-657.708mil","457.974mil","-657.708mil","457.974mil","-657.708mil","439.076mil","T","90.00","47p"
"C16","0805","-3798.367mil","1102.362mil","-3798.367mil","1102.362mil","-3798.367mil","1067.913mil","T","90.00","47u"
"C29","0402","-658.556mil","556.385mil","-658.556mil","556.385mil","-658.556mil","575.283mil","T","270.00","47p"
"C30","0402","-702.197mil","650.984mil","-702.197mil","650.984mil","-702.197mil","669.882mil","T","270.00","100n"
"C44","0402","-1203.489mil","827.15mil","-1203.489mil","827.15mil","-1203.489mil","846.048mil","T","270.00","100n"
"C48","0402","-2144.954mil","690mil","-2144.954mil","690mil","-2144.954mil","671.102mil","T","90.00","100n"
"C58","0603","-1773.968mil","1490.324mil","-1773.968mil","1490.324mil","-1741.881mil","1490.324mil","T","180.00","10u"
"C61","0402","-2984.39mil","1240.655mil","-2984.39mil","1240.655mil","-2984.39mil","1257.387mil","T","270.00","100p"
"C66","0402","-1090.052mil","580.303mil","-1090.052mil","580.303mil","-1108.949mil","580.303mil","T","360.00","1u"
"C67","0402","-1049.784mil","644.714mil","-1049.784mil","644.714mil","-1049.784mil","625.816mil","T","90.00","2u2"
"C80","0402","-2773.689mil","719.845mil","-2773.689mil","719.845mil","-2773.689mil","738.742mil","T","270.00","100n"
"C50","0402","-2105.093mil","690mil","-2105.093mil","690mil","-2105.093mil","671.102mil","T","90.00","100n"
"C53","0402","-1945.647mil","690mil","-1945.647mil","690mil","-1945.647mil","671.102mil","T","90.00","100n"
"C54","0402","-1901.108mil","690mil","-1901.108mil","690mil","-1901.108mil","671.102mil","T","90.00","100n"
"C6","0402","-1470.923mil","797.991mil","-1470.923mil","797.991mil","-1470.923mil","816.888mil","T","270.00","100n"
"C7","0402","-1431.376mil","797.991mil","-1431.376mil","797.991mil","-1431.376mil","816.888mil","T","270.00","100n"
"C8","0402","-1391.915mil","797.991mil","-1391.915mil","797.991mil","-1391.915mil","816.888mil","T","270.00","100n"
"C12","0402","-1356.186mil","797.991mil","-1356.186mil","797.991mil","-1356.186mil","816.888mil","T","270.00","100n"
"C39","0402","-1618.968mil","797.991mil","-1618.968mil","797.991mil","-1618.968mil","816.888mil","T","270.00","100n"
"C40","0402","-1586.565mil","797.991mil","-1586.565mil","797.991mil","-1586.565mil","816.888mil","T","270.00","100n"
"C42","0402","-1545.242mil","797.991mil","-1545.242mil","797.991mil","-1545.242mil","816.888mil","T","270.00","100n"
"C43","0402","-1511.622mil","797.991mil","-1511.622mil","797.991mil","-1511.622mil","816.888mil","T","270.00","100n"
"C45","0402","-1240.228mil","827.15mil","-1240.228mil","827.15mil","-1240.228mil","846.048mil","T","270.00","100n"
"C73","0402","-2509.844mil","719.845mil","-2509.844mil","719.845mil","-2509.844mil","738.742mil","T","270.00","100n"
"C74","0402","-2545.822mil","719.845mil","-2545.822mil","719.845mil","-2545.822mil","738.742mil","T","270.00","100n"
"C75","0402","-2585.8mil","719.845mil","-2585.8mil","719.845mil","-2585.8mil","738.742mil","T","270.00","100n"
"C76","0402","-2661.755mil","719.845mil","-2661.755mil","719.845mil","-2661.755mil","738.742mil","T","270.00","100n"
"C77","0402","-2621.778mil","719.845mil","-2621.778mil","719.845mil","-2621.778mil","738.742mil","T","270.00","100n"
"C78","0402","-2737.711mil","719.845mil","-2737.711mil","719.845mil","-2737.711mil","738.742mil","T","270.00","100n"
"C79","0402","-2697.733mil","719.845mil","-2697.733mil","719.845mil","-2697.733mil","738.742mil","T","270.00","100n"

